,시도별 교통사고(광역),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
0,"(단위 : 건, 명)",,,,,,,,,,,,,,,,
1,광역지자체,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
2,광역지자체,사고[건],사망[명],중상[명],부상[명],인구10만명당사고건수,자동차1만대당사고건수,도로1km당사고건수,인구10만명당사망자수,자동차1만대당사망자수,도로1km당사망자수,인구10만명당중상자수,자동차1만대당중상자수,도로1km당중상자수,인구10만명당부상자수,자동차1만대당부상자수,도로1km당부상자수
3,서울,33698,221,7740,45329,358.1,92.2,4,2.3,0.6,0.03,82.2,21.2,0.9,481.6,124.1,5.4
4,부산,10882,113,3420,14829,329.8,65.7,2.9,3.4,0.7,0.03,103.7,20.7,0.9,449.4,89.6,3.9
5,대구,11102,68,2703,15721,469.7,80.8,3.6,2.9,0.5,0.02,114.4,19.7,0.9,665.2,114.4,5.1
6,인천,7695,95,1592,10533,259.9,42.5,2.3,3.2,0.5,0.03,53.8,8.8,0.5,355.8,58.2,3.1
7,광주,7122,58,1088,10722,486.7,92.8,3.8,4,0.8,0.03,74.3,14.2,0.6,732.7,139.7,5.7
8,대전,6841,51,1433,9850,464.9,90.2,3.1,3.5,0.7,0.02,97.4,18.9,0.6,669.4,129.9,4.4
9,울산,3660,32,1181,5177,328.9,54.3,1.4,2.9,0.5,0.01,106.1,17.5,0.5,465.2,76.9,2
10,세종,932,17,234,1330,243.5,43.6,2.2,4.4,0.8,0.04,61.1,11,0.6,347.5,62.3,3.1
11,경기,52968,547,12201,77377,387.2,75.5,3.6,4,0.8,0.04,89.2,17.4,0.8,565.6,110.3,5.2
12,강원,6425,139,1910,10160,421.1,63.6,0.7,9.1,1.4,0.01,125.2,18.9,0.2,665.8,100.6,1
13,충북,7644,149,2355,11354,467.9,69.1,1.1,9.1,1.3,0.02,144.2,21.3,0.3,695,102.6,1.6
14,충남,8164,230,2618,11964,374.5,53.9,1.1,10.6,1.5,0.03,120.1,17.3,0.3,548.8,79,1.6
15,전북,5681,194,1692,8091,319.1,46.5,0.7,10.9,1.6,0.02,95,13.9,0.2,454.5,66.3,0.9
16,전남,8335,201,2390,12611,471.3,53.5,0.8,11.4,1.3,0.02,135.1,15.3,0.2,713,80.9,1.2
17,경북,11037,309,3999,16189,419.9,55.7,0.8,11.8,1.6,0.02,152.2,20.2,0.3,616,81.6,1.2
18,경남,10611,258,4092,14545,322.6,47.4,0.8,7.8,1.2,0.02,124.4,18.3,0.3,442.2,65,1.1
19,제주,4039,53,1067,6021,597.7,53.8,1.2,7.8,0.7,0.02,157.9,14.2,0.3,891.1,80.1,1.9
20,출처) 한국도로교통공단.&#10;주)&#10;인구 : 통계청 추계인구 인용&#10;자동차 등록대수 : 이륜，건설기계，농기계 포함&#10;        국토해양부，농림수산식품부 자료 인용&#10;도로연장 : 국토해양부 자료 인용,,,,,,,,,,,,,,,,
